date,dns,visit_count
13/Jul/1995,163.206.89.4,865
13/Jul/1995,vagrant.vf.mmc.com,759
14/Jul/1995,piweba4y.prodigy.com,1029
14/Jul/1995,siltb10.orl.mmc.com,872
14/Jul/1995,piweba3y.prodigy.com,867
14/Jul/1995,edams.ksc.nasa.gov,449
14/Jul/1995,piweba1y.prodigy.com,435
14/Jul/1995,147.151.1.168,407
14/Jul/1995,163.206.89.4,389
15/Jul/1995,piweba4y.prodigy.com,974
15/Jul/1995,piweba3y.prodigy.com,949
15/Jul/1995,siltb10.orl.mmc.com,881
15/Jul/1995,piweba2y.prodigy.com,432
15/Jul/1995,piweba1y.prodigy.com,408
15/Jul/1995,disarray.demon.co.uk,229
15/Jul/1995,www-c6.proxy.aol.com,219
16/Jul/1995,piweba3y.prodigy.com,1280
16/Jul/1995,piweba4y.prodigy.com,1269
16/Jul/1995,siltb10.orl.mmc.com,874
16/Jul/1995,piweba1y.prodigy.com,610
16/Jul/1995,piweba2y.prodigy.com,465
16/Jul/1995,dsingleton.tamu.edu,313
16/Jul/1995,sparc10_work4.utsi.edu,276
17/Jul/1995,siltb10.orl.mmc.com,850
17/Jul/1995,piweba4y.prodigy.com,460
17/Jul/1995,piweba1y.prodigy.com,422
17/Jul/1995,piweba3y.prodigy.com,413
17/Jul/1995,vagrant.vf.mmc.com,349
17/Jul/1995,news.ti.com,311
17/Jul/1995,www-c5.proxy.aol.com,275
18/Jul/1995,siltb10.orl.mmc.com,518
18/Jul/1995,piweba3y.prodigy.com,459
18/Jul/1995,piweba4y.prodigy.com,403
18/Jul/1995,titan02f,396
18/Jul/1995,edams.ksc.nasa.gov,350
18/Jul/1995,alberti.cs.berkeley.edu,316
18/Jul/1995,198.133.29.18,291
19/Jul/1995,siltb10.orl.mmc.com,847
19/Jul/1995,piweba3y.prodigy.com,616
19/Jul/1995,piweba4y.prodigy.com,386
19/Jul/1995,hoohoo.ncsa.uiuc.edu,367
19/Jul/1995,proxy0.research.att.com,356
19/Jul/1995,poppy.hensa.ac.uk,281
19/Jul/1995,198.133.29.18,267
20/Jul/1995,siltb10.orl.mmc.com,884
20/Jul/1995,piweba3y.prodigy.com,430
20/Jul/1995,vagrant.vf.mmc.com,425
20/Jul/1995,piweba4y.prodigy.com,383
20/Jul/1995,kss2nn.nn.mobitel.telia.se,265
20/Jul/1995,piweba1y.prodigy.com,243
20/Jul/1995,e659229.boeing.com,211
21/Jul/1995,siltb10.orl.mmc.com,1354
21/Jul/1995,vagrant.vf.mmc.com,665
21/Jul/1995,piweba3y.prodigy.com,464
21/Jul/1995,sgigate.sgi.com,368
21/Jul/1995,edams.ksc.nasa.gov,362
21/Jul/1995,piweba4y.prodigy.com,334
21/Jul/1995,piweba1y.prodigy.com,304
22/Jul/1995,currypc.fpl.msstate.edu,700
22/Jul/1995,piweba3y.prodigy.com,541
22/Jul/1995,piweba4y.prodigy.com,361
22/Jul/1995,piweba1y.prodigy.com,286
22/Jul/1995,www-c6.proxy.aol.com,258
22/Jul/1995,www-a1.proxy.aol.com,232
22/Jul/1995,www-c3.proxy.aol.com,227
23/Jul/1995,currypc.fpl.msstate.edu,709
23/Jul/1995,piweba3y.prodigy.com,619
23/Jul/1995,piweba4y.prodigy.com,566
23/Jul/1995,piweba1y.prodigy.com,364
23/Jul/1995,rasputin.caltech.edu,296
23/Jul/1995,www-b5.proxy.aol.com,246
23/Jul/1995,www-d4.proxy.aol.com,245
24/Jul/1995,198.133.29.18,436
24/Jul/1995,edams.ksc.nasa.gov,336
24/Jul/1995,currypc.fpl.msstate.edu,303
24/Jul/1995,triton,280
24/Jul/1995,piweba4y.prodigy.com,265
24/Jul/1995,e659229.boeing.com,252
24/Jul/1995,163.206.137.21,243
25/Jul/1995,jbiagioni.npt.nuwc.navy.mil,763
25/Jul/1995,piweba3y.prodigy.com,319
25/Jul/1995,arctic.nad.northrop.com,305
25/Jul/1995,edams.ksc.nasa.gov,278
25/Jul/1995,198.133.29.18,254
25/Jul/1995,walt.cfr.washington.edu,238
25/Jul/1995,www-a2.proxy.aol.com,221
26/Jul/1995,piweba3y.prodigy.com,312
26/Jul/1995,arctic.nad.northrop.com,274
26/Jul/1995,piweba4y.prodigy.com,265
26/Jul/1995,edams.ksc.nasa.gov,217
26/Jul/1995,fractal.mech.tohoku.ac.jp,209
26/Jul/1995,163.205.162.112,192
26/Jul/1995,vewer.sso.az.honeywell.com,192
27/Jul/1995,edams.ksc.nasa.gov,283
27/Jul/1995,192.223.3.88,252
27/Jul/1995,jalisco.engr.ucdavis.edu,248
27/Jul/1995,piweba4y.prodigy.com,241
27/Jul/1995,mega218.megamed.com,239
27/Jul/1995,fkirchman.gsfc.nasa.gov,224
27/Jul/1995,e659229.boeing.com,211
28/Jul/1995,pcmas.it.bton.ac.uk,353
28/Jul/1995,poppy.hensa.ac.uk,203
28/Jul/1995,edams.ksc.nasa.gov,177
28/Jul/1995,mnssec3.dukepower.com,144
28/Jul/1995,stella.uio.no,143
28/Jul/1995,trusty.lmsc.lockheed.com,124
28/Jul/1995,scooter.pa-x.dec.com,107
NO DATE,alyssa.p,1
