date,dns,visit_count
18/Jul/1995,edams.ksc.nasa.gov,350
19/Jul/1995,siltb10.orl.mmc.com,847
19/Jul/1995,piweba3y.prodigy.com,616
19/Jul/1995,piweba4y.prodigy.com,386
19/Jul/1995,hoohoo.ncsa.uiuc.edu,367
19/Jul/1995,proxy0.research.att.com,356
20/Jul/1995,siltb10.orl.mmc.com,884
20/Jul/1995,piweba3y.prodigy.com,430
20/Jul/1995,vagrant.vf.mmc.com,425
20/Jul/1995,piweba4y.prodigy.com,383
20/Jul/1995,kss2nn.nn.mobitel.telia.se,265
21/Jul/1995,siltb10.orl.mmc.com,1354
21/Jul/1995,vagrant.vf.mmc.com,665
21/Jul/1995,piweba3y.prodigy.com,464
21/Jul/1995,sgigate.sgi.com,368
21/Jul/1995,edams.ksc.nasa.gov,362
22/Jul/1995,currypc.fpl.msstate.edu,700
22/Jul/1995,piweba3y.prodigy.com,541
22/Jul/1995,piweba4y.prodigy.com,361
22/Jul/1995,piweba1y.prodigy.com,286
22/Jul/1995,www-c6.proxy.aol.com,258
23/Jul/1995,currypc.fpl.msstate.edu,709
23/Jul/1995,piweba3y.prodigy.com,619
23/Jul/1995,piweba4y.prodigy.com,566
23/Jul/1995,piweba1y.prodigy.com,364
23/Jul/1995,rasputin.caltech.edu,296
24/Jul/1995,198.133.29.18,436
24/Jul/1995,edams.ksc.nasa.gov,336
24/Jul/1995,currypc.fpl.msstate.edu,303
24/Jul/1995,triton,280
24/Jul/1995,piweba4y.prodigy.com,265
25/Jul/1995,jbiagioni.npt.nuwc.navy.mil,763
25/Jul/1995,piweba3y.prodigy.com,319
25/Jul/1995,arctic.nad.northrop.com,305
25/Jul/1995,edams.ksc.nasa.gov,278
25/Jul/1995,198.133.29.18,254
26/Jul/1995,piweba3y.prodigy.com,312
26/Jul/1995,arctic.nad.northrop.com,274
26/Jul/1995,piweba4y.prodigy.com,265
26/Jul/1995,edams.ksc.nasa.gov,217
26/Jul/1995,fractal.mech.tohoku.ac.jp,209
27/Jul/1995,edams.ksc.nasa.gov,283
27/Jul/1995,192.223.3.88,252
27/Jul/1995,jalisco.engr.ucdavis.edu,248
27/Jul/1995,piweba4y.prodigy.com,241
27/Jul/1995,mega218.megamed.com,239
28/Jul/1995,pcmas.it.bton.ac.uk,353
28/Jul/1995,poppy.hensa.ac.uk,203
28/Jul/1995,edams.ksc.nasa.gov,177
28/Jul/1995,mnssec3.dukepower.com,144
28/Jul/1995,stella.uio.no,143
NO DATE,alyssa.p,1
